"","datetimestamp","station","temp_mean","temp_min","temp_max","sal_mean","sal_min","sal_max"
"224",2021-07-01,"Pine Island",29.6458669354839,29.1258064516129,30.3838709677419,21.1274865591398,16.2838709677419,26.5774193548387
"225",2021-08-01,"Pine Island",30.2290322580645,29.658064516129,30.8935483870968,13.1077956989247,8.50645161290323,19.5612903225806
"226",2021-09-01,"Pine Island",28.541610738255,27.9153846153846,29.0846153846154,15.8729865771812,12.1923076923077,20.7615384615385
"227",2021-10-01,"Pine Island",26.2772803769774,25.7516129032258,26.8193548387097,21.5173005721979,18.1677419354839,25.8741935483871
"228",2021-11-01,"Pine Island",18.7025506638714,18.0933333333333,19.32,23.6522361984626,20.4966666666667,27.1866666666667
"229",2021-12-01,"Pine Island",18.9902553763441,18.4774193548387,19.5612903225806,23.3815188172043,20.2,27.058064516129
"230",2022-01-01,"Pine Island",15.9329301075269,15.3612903225806,16.4935483870968,27.1595094086022,24.1838709677419,30.358064516129
"231",2022-02-01,"Pine Island",17.2403645833333,16.5142857142857,18.1571428571429,27.1060267857143,24.9,29.3607142857143
"232",2022-03-01,"Pine Island",21.0352150537634,20.2774193548387,21.9322580645161,22.1625,18.5774193548387,25.958064516129
"233",2022-04-01,"Pine Island",23.5228125,22.8533333333333,24.3766666666667,21.7748611111111,17.7966666666667,26.81
"234",2022-05-01,"Pine Island",27.1436827956989,26.4645161290323,28.0290322580645,31.4560483870968,29.7322580645161,33.5548387096774
"235",2022-06-01,"Pine Island",29.9474305555556,29.3966666666667,30.6666666666667,36.3158333333333,35.8766666666667,36.6366666666667
"236",2022-07-01,"Pine Island",30.5515793010753,29.9645161290323,31.2161290322581,30.3177419354839,27.1258064516129,32.7903225806452
"237",2022-08-01,"Pine Island",30.8446908602151,30.2903225806452,31.5258064516129,28.002251344086,24.8483870967742,31.1870967741935
"238",2022-09-01,"Pine Island",28.5872222222222,28.0333333333333,29.17,19.4519097222222,14.7333333333333,25.14
"239",2022-10-01,"Pine Island",23.5912970430108,22.9387096774194,24.2741935483871,17.8230846774194,14.5161290322581,22.9225806451613
